Target Distance:	1000, Step Size: 20
58: (x,y) = (-84.1121, -45.971)
59: (x,y) = (-65.4405, -38.8036)
60: (x,y) = (-50.3463, -51.9248)
61: (x,y) = (-70.1517, -49.1414)
62: (x,y) = (-56.5117, -63.7684)
63: (x,y) = (-66.2079, -46.276)
64: (x,y) = (-62.7349, -65.9722)
65: (x,y) = (-63.7817, -45.9996)
66: (x,y) = (-75.818, -30.0269)
67: (x,y) = (-68.3258, -11.4832)
68: (x,y) = (-77.0932, 6.49267)
69: (x,y) = (-92.8535, 18.8059)
70: (x,y) = (-101.621, 36.7818)
71: (x,y) = (-84.1285, 46.478)
72: (x,y) = (-102.399, 38.3432)
73: (x,y) = (-84.7405, 28.9538)
74: (x,y) = (-87.1778, 9.10289)
75: (x,y) = (-107.029, 11.5403)
76: (x,y) = (-121.171, -2.60186)
77: (x,y) = (-139.581, 5.21276)
78: (x,y) = (-147.073, 23.7564)
79: (x,y) = (-128.163, 30.2678)
80: (x,y) = (-148.114, 31.6629)
81: (x,y) = (-144.641, 11.9668)
82: (x,y) = (-126.231, 19.7814)
83: (x,y) = (-108.572, 29.1708)
84: (x,y) = (-90.4459, 20.7185)
85: (x,y) = (-82.6312, 2.30837)
86: (x,y) = (-63.1438, -2.19066)
87: (x,y) = (-46.5631, 8.9932)
88: (x,y) = (-53.7305, 27.6648)
89: (x,y) = (-47.2191, 46.5752)
90: (x,y) = (-58.6906, 62.9582)
91: (x,y) = (-49.3012, 45.2993)
92: (x,y) = (-29.3134, 45.9973)
93: (x,y) = (-9.99485, 40.8209)
94: (x,y) = (-25.5378, 53.4073)
95: (x,y) = (-42.6811, 63.7081)
96: (x,y) = (-25.9077, 52.8153)
97: (x,y) = (-40.5348, 39.1753)
98: (x,y) = (-28.4985, 55.148)
99: (x,y) = (-42.1384, 69.7751)
100: (x,y) = (-36.9621, 89.0936)
101: (x,y) = (-17.2083, 85.9649)
102: (x,y) = (-30.0641, 70.644)
103: (x,y) = (-14.0913, 58.6077)
104: (x,y) = (-15.4865, 38.6564)
105: (x,y) = (3.73876, 33.1437)
106: (x,y) = (-15.8242, 28.9855)
107: (x,y) = (3.58173, 33.8239)
108: (x,y) = (3.93077, 13.8269)
109: (x,y) = (22.4745, 6.33481)
110: (x,y) = (25.2579, -13.4705)
111: (x,y) = (5.56176, -16.9435)
112: (x,y) = (23.8327, -25.0782)
113: (x,y) = (23.8327, -45.0782)
114: (x,y) = (6.17372, -54.4677)
115: (x,y) = (-9.79899, -66.504)
116: (x,y) = (-8.40386, -46.5527)
117: (x,y) = (8.36955, -57.4455)
118: (x,y) = (-8.95096, -67.4455)
119: (x,y) = (-21.8067, -82.7664)
120: (x,y) = (-38.5801, -71.8736)
121: (x,y) = (-32.3998, -52.8525)
122: (x,y) = (-16.6396, -40.5392)
123: (x,y) = (3.1142, -37.4105)
124: (x,y) = (-0.0144924, -57.1643)
125: (x,y) = (16.9465, -46.5659)
126: (x,y) = (-2.74969, -50.0389)
127: (x,y) = (17.2473, -50.3879)
128: (x,y) = (18.6424, -70.3392)
129: (x,y) = (15.1694, -50.6431)
130: (x,y) = (22.6616, -69.1867)
131: (x,y) = (39.9821, -79.1867)
132: (x,y) = (58.7759, -72.3463)
133: (x,y) = (47.5921, -88.9271)
134: (x,y) = (67.5647, -89.9738)
135: (x,y) = (67.9137, -109.971)
136: (x,y) = (81.5537, -95.3437)
137: (x,y) = (73.7391, -76.9336)
138: (x,y) = (80.9064, -95.6052)
139: (x,y) = (99.578, -88.4378)
140: (x,y) = (89.578, -105.758)
141: (x,y) = (71.3071, -97.6236)
142: (x,y) = (83.8935, -82.0807)
143: (x,y) = (67.5105, -70.6092)
144: (x,y) = (65.7674, -90.5331)
145: (x,y) = (81.7401, -102.569)
146: (x,y) = (63.9199, -111.649)
147: (x,y) = (46.261, -121.039)
148: (x,y) = (30.5008, -133.352)
149: (x,y) = (20.5008, -150.672)
150: (x,y) = (30.5008, -167.993)
151: (x,y) = (19.3169, -151.412)
152: (x,y) = (15.1587, -170.975)
153: (x,y) = (0.295787, -157.592)
154: (x,y) = (14.189, -143.206)
155: (x,y) = (22.0036, -124.796)
156: (x,y) = (37.5465, -112.209)
157: (x,y) = (17.9835, -108.051)
158: (x,y) = (15.2001, -88.2455)
159: (x,y) = (6.43266, -106.221)
160: (x,y) = (9.21612, -86.4161)
161: (x,y) = (6.08743, -66.6623)
162: (x,y) = (13.5796, -85.206)
163: (x,y) = (21.0717, -66.6623)
164: (x,y) = (1.08388, -67.3603)
165: (x,y) = (8.8985, -48.9502)
166: (x,y) = (5.08232, -68.5827)
167: (x,y) = (-14.869, -67.1876)
168: (x,y) = (4.15217, -61.0073)
169: (x,y) = (-6.74061, -77.7807)
170: (x,y) = (1.39412, -59.5098)
171: (x,y) = (-18.6059, -59.5098)
172: (x,y) = (-27.6857, -41.6896)
173: (x,y) = (-28.3837, -61.6774)
174: (x,y) = (-27.6857, -81.6653)
175: (x,y) = (-44.4591, -70.7725)
176: (x,y) = (-64.4469, -70.0745)
177: (x,y) = (-73.8363, -52.4155)
178: (x,y) = (-93.2423, -57.254)
179: (x,y) = (-92.5443, -37.2662)
180: (x,y) = (-73.8727, -30.0988)
181: (x,y) = (-86.1859, -45.859)
182: (x,y) = (-75.002, -62.4398)
183: (x,y) = (-86.1859, -79.0205)
184: (x,y) = (-86.8839, -99.0083)
185: (x,y) = (-70.7035, -110.764)
186: (x,y) = (-87.477, -121.657)
187: (x,y) = (-103.657, -133.413)
188: (x,y) = (-85.5311, -124.96)
189: (x,y) = (-70.4369, -111.839)
190: (x,y) = (-78.5717, -93.5681)
191: (x,y) = (-85.4121, -74.7742)
192: (x,y) = (-105.045, -78.5904)
193: (x,y) = (-111.225, -97.6115)
194: (x,y) = (-116.738, -116.837)
195: (x,y) = (-122.585, -97.7107)
196: (x,y) = (-102.889, -94.2377)
197: (x,y) = (-86.3082, -105.422)
198: (x,y) = (-88.7456, -125.272)
199: (x,y) = (-73.4247, -112.417)
200: (x,y) = (-65.9326, -93.8731)
201: (x,y) = (-74.0673, -112.144)
202: (x,y) = (-87.45, -97.2811)
203: (x,y) = (-68.1314, -102.457)
204: (x,y) = (-86.1073, -111.225)
205: (x,y) = (-72.9861, -96.1307)
206: (x,y) = (-90.962, -104.898)
207: (x,y) = (-110.813, -102.461)
208: (x,y) = (-92.0191, -95.6203)
209: (x,y) = (-74.8757, -85.3195)
210: (x,y) = (-57.0556, -76.2397)
211: (x,y) = (-77.0069, -77.6349)
212: (x,y) = (-96.2321, -83.1476)
213: (x,y) = (-85.3393, -99.921)
214: (x,y) = (-89.1555, -80.2885)
215: (x,y) = (-81.9882, -61.6169)
216: (x,y) = (-91.9882, -44.2964)
217: (x,y) = (-74.0123, -53.0638)
218: (x,y) = (-75.059, -73.0364)
219: (x,y) = (-77.1496, -53.1459)
220: (x,y) = (-90.0053, -37.8251)
221: (x,y) = (-109.811, -40.6085)
222: (x,y) = (-98.9179, -57.3819)
223: (x,y) = (-81.4255, -67.0781)
224: (x,y) = (-83.5161, -47.1877)
225: (x,y) = (-101.336, -56.2675)
226: (x,y) = (-87.9536, -41.4046)
227: (x,y) = (-67.9566, -41.7536)
228: (x,y) = (-48.1513, -44.5371)
229: (x,y) = (-67.9566, -47.3206)
230: (x,y) = (-87.9079, -48.7157)
231: (x,y) = (-77.6072, -65.859)
232: (x,y) = (-92.7014, -78.9802)
233: (x,y) = (-73.791, -72.4689)
234: (x,y) = (-58.6968, -59.3477)
235: (x,y) = (-48.396, -76.491)
236: (x,y) = (-31.8153, -65.3072)
237: (x,y) = (-44.9365, -50.213)
238: (x,y) = (-28.5534, -38.7414)
239: (x,y) = (-22.706, -57.8675)
240: (x,y) = (-28.2187, -77.0928)
241: (x,y) = (-18.8293, -59.4338)
242: (x,y) = (-3.28638, -72.0202)
243: (x,y) = (13.487, -61.1274)
244: (x,y) = (19.9984, -80.0378)
245: (x,y) = (19.9984, -100.038)
246: (x,y) = (0.00143872, -100.387)
247: (x,y) = (6.5128, -119.297)
248: (x,y) = (4.07541, -139.148)
249: (x,y) = (-12.1049, -150.904)
250: (x,y) = (3.43799, -163.49)
251: (x,y) = (22.1096, -170.658)
252: (x,y) = (2.79109, -175.834)
253: (x,y) = (-7.20891, -193.155)
254: (x,y) = (-12.3853, -212.473)
255: (x,y) = (-0.0720651, -228.233)
256: (x,y) = (-6.58343, -209.323)
257: (x,y) = (11.2367, -218.403)
258: (x,y) = (23.273, -234.375)
259: (x,y) = (36.3942, -249.47)
260: (x,y) = (16.4216, -250.516)
261: (x,y) = (12.2634, -230.953)
262: (x,y) = (21.0308, -212.977)
263: (x,y) = (34.4134, -198.115)
264: (x,y) = (23.2295, -214.695)
265: (x,y) = (7.68662, -202.109)
266: (x,y) = (-4.62661, -186.349)
267: (x,y) = (1.55373, -167.328)
268: (x,y) = (-11.0327, -151.785)
269: (x,y) = (-24.6726, -166.412)
270: (x,y) = (-44.3052, -162.596)
271: (x,y) = (-43.2585, -182.568)
272: (x,y) = (-23.5047, -179.439)
273: (x,y) = (-40.4657, -190.038)
274: (x,y) = (-35.6272, -209.444)
275: (x,y) = (-48.7484, -194.35)
276: (x,y) = (-67.0193, -186.215)
277: (x,y) = (-76.0991, -168.395)
278: (x,y) = (-88.1354, -152.422)
279: (x,y) = (-107.832, -155.895)
280: (x,y) = (-126.625, -149.055)
281: (x,y) = (-107.715, -142.543)
282: (x,y) = (-127.469, -145.672)
283: (x,y) = (-107.469, -145.672)
284: (x,y) = (-89.6487, -136.592)
285: (x,y) = (-70.1613, -132.093)
286: (x,y) = (-78.9287, -114.117)
287: (x,y) = (-97.6003, -121.285)
288: (x,y) = (-79.4742, -129.737)
289: (x,y) = (-82.6029, -149.491)
290: (x,y) = (-90.095, -168.034)
291: (x,y) = (-74.1223, -155.998)
292: (x,y) = (-86.7087, -171.541)
293: (x,y) = (-74.6724, -187.514)
294: (x,y) = (-91.9929, -177.514)
295: (x,y) = (-99.1603, -196.185)
296: (x,y) = (-81.0341, -187.733)
297: (x,y) = (-84.1628, -167.979)
298: (x,y) = (-66.3427, -158.899)
299: (x,y) = (-56.9532, -176.558)
300: (x,y) = (-54.5158, -196.409)
301: (x,y) = (-68.9026, -210.302)
302: (x,y) = (-82.7958, -195.916)
303: (x,y) = (-63.3084, -200.415)
304: (x,y) = (-44.398, -206.926)
305: (x,y) = (-49.2365, -187.52)
306: (x,y) = (-64.5574, -200.376)
307: (x,y) = (-80.3176, -188.063)
308: (x,y) = (-65.9308, -201.956)
309: (x,y) = (-46.0403, -204.046)
310: (x,y) = (-56.9331, -187.273)
311: (x,y) = (-62.7806, -206.399)
312: (x,y) = (-78.1014, -193.543)
313: (x,y) = (-84.9419, -174.749)
314: (x,y) = (-73.758, -158.169)
315: (x,y) = (-86.0712, -173.929)
316: (x,y) = (-80.8948, -154.61)
317: (x,y) = (-100.7, -151.827)
318: (x,y) = (-106.548, -170.953)
319: (x,y) = (-105.501, -190.926)
320: (x,y) = (-105.501, -210.926)
321: (x,y) = (-90.4067, -224.047)
322: (x,y) = (-108.533, -232.499)
323: (x,y) = (-113.709, -251.818)
324: (x,y) = (-118.886, -232.499)
325: (x,y) = (-133.98, -219.378)
326: (x,y) = (-153.968, -218.68)
327: (x,y) = (-170.148, -206.924)
328: (x,y) = (-152.328, -216.004)
329: (x,y) = (-153.375, -196.031)
330: (x,y) = (-161.189, -177.621)
331: (x,y) = (-164.318, -157.868)
332: (x,y) = (-184.169, -160.305)
333: (x,y) = (-203.19, -154.125)
334: (x,y) = (-193.19, -136.804)
335: (x,y) = (-188.691, -117.317)
336: (x,y) = (-190.434, -137.241)
337: (x,y) = (-182.619, -118.831)
338: (x,y) = (-195.206, -103.288)
339: (x,y) = (-175.452, -100.159)
340: (x,y) = (-193.428, -91.3915)
341: (x,y) = (-208.055, -105.031)
342: (x,y) = (-226.727, -112.199)
343: (x,y) = (-221.55, -131.517)
344: (x,y) = (-214.71, -150.311)
345: (x,y) = (-233.62, -143.8)
346: (x,y) = (-248.714, -130.679)
347: (x,y) = (-249.761, -150.651)
348: (x,y) = (-235.134, -137.011)
349: (x,y) = (-253.405, -128.877)
350: (x,y) = (-271.225, -119.797)
351: (x,y) = (-286.985, -107.483)
352: (x,y) = (-291.484, -126.971)
353: (x,y) = (-300.252, -108.995)
354: (x,y) = (-320.057, -111.778)
355: (x,y) = (-329.447, -94.1195)
356: (x,y) = (-313.474, -82.0832)
357: (x,y) = (-333.446, -83.1299)
358: (x,y) = (-342.214, -65.1541)
359: (x,y) = (-355.854, -50.527)
360: (x,y) = (-372.034, -62.2827)
361: (x,y) = (-357.892, -76.4248)
362: (x,y) = (-363.405, -57.1996)
363: (x,y) = (-364.8, -77.1509)
364: (x,y) = (-379.663, -90.5335)
365: (x,y) = (-375.505, -110.096)
366: (x,y) = (-379.663, -129.659)
367: (x,y) = (-397.639, -138.427)
368: (x,y) = (-377.666, -139.474)
369: (x,y) = (-370.174, -120.93)
370: (x,y) = (-353.791, -109.458)
371: (x,y) = (-345.656, -127.729)
372: (x,y) = (-341.498, -108.166)
373: (x,y) = (-358.641, -118.467)
374: (x,y) = (-370.678, -134.44)
375: (x,y) = (-390.241, -138.598)
376: (x,y) = (-390.59, -118.601)
377: (x,y) = (-410.441, -116.164)
378: (x,y) = (-390.878, -120.322)
379: (x,y) = (-375.335, -132.908)
380: (x,y) = (-379.493, -152.471)
381: (x,y) = (-382.622, -172.225)
382: (x,y) = (-386.78, -191.788)
383: (x,y) = (-401.643, -205.171)
384: (x,y) = (-386.548, -192.049)
385: (x,y) = (-369.056, -201.746)
386: (x,y) = (-380.528, -218.129)
387: (x,y) = (-395.155, -204.489)
388: (x,y) = (-404.544, -222.148)
389: (x,y) = (-413.624, -204.327)
390: (x,y) = (-424.808, -187.747)
391: (x,y) = (-405.682, -193.594)
392: (x,y) = (-394.21, -209.977)
393: (x,y) = (-409.073, -223.36)
394: (x,y) = (-407.678, -203.409)
395: (x,y) = (-398.911, -185.433)
396: (x,y) = (-378.959, -186.828)
397: (x,y) = (-389.26, -203.971)
398: (x,y) = (-409.233, -205.018)
399: (x,y) = (-416.4, -186.346)
400: (x,y) = (-420.558, -205.909)
401: (x,y) = (-410.257, -188.766)
402: (x,y) = (-390.27, -188.068)
403: (x,y) = (-370.346, -189.811)
404: (x,y) = (-366.53, -170.178)
405: (x,y) = (-371.706, -189.497)
406: (x,y) = (-354.214, -199.193)
407: (x,y) = (-339.827, -213.086)
408: (x,y) = (-350.127, -230.23)
409: (x,y) = (-362.714, -214.687)
410: (x,y) = (-371.166, -232.813)
411: (x,y) = (-386.029, -219.43)
412: (x,y) = (-374.845, -236.011)
413: (x,y) = (-384.845, -253.332)
414: (x,y) = (-398.987, -239.189)
415: (x,y) = (-392.147, -257.983)
416: (x,y) = (-411.168, -264.164)
417: (x,y) = (-430.974, -266.947)
418: (x,y) = (-423.481, -248.403)
419: (x,y) = (-403.591, -250.494)
420: (x,y) = (-416.177, -234.951)
421: (x,y) = (-432.358, -223.195)
422: (x,y) = (-446.251, -237.582)
423: (x,y) = (-456.251, -254.903)
424: (x,y) = (-449.74, -273.813)
425: (x,y) = (-430.829, -280.324)
426: (x,y) = (-450.525, -283.797)
427: (x,y) = (-454.341, -264.165)
428: (x,y) = (-467.981, -249.538)
429: (x,y) = (-477.678, -267.03)
430: (x,y) = (-488.57, -283.804)
431: (x,y) = (-473.25, -296.659)
432: (x,y) = (-467.069, -277.638)
433: (x,y) = (-448.798, -285.773)
434: (x,y) = (-455.639, -266.979)
435: (x,y) = (-475.126, -271.478)
436: (x,y) = (-473.383, -251.554)
437: (x,y) = (-475.82, -231.703)
438: (x,y) = (-472.004, -212.071)
439: (x,y) = (-452.114, -214.161)
440: (x,y) = (-458.625, -195.251)
441: (x,y) = (-439.953, -188.084)
442: (x,y) = (-459.272, -182.907)
443: (x,y) = (-460.319, -162.935)
444: (x,y) = (-448.847, -146.551)
445: (x,y) = (-429.937, -140.04)
446: (x,y) = (-429.239, -160.028)
447: (x,y) = (-449.129, -162.119)
448: (x,y) = (-429.811, -156.942)
449: (x,y) = (-410.586, -162.455)
450: (x,y) = (-427.729, -152.154)
451: (x,y) = (-408.603, -158.002)
452: (x,y) = (-427.513, -151.49)
453: (x,y) = (-427.862, -171.487)
454: (x,y) = (-417.264, -188.448)
455: (x,y) = (-424.104, -169.654)
456: (x,y) = (-410.983, -184.748)
457: (x,y) = (-416.159, -165.43)
458: (x,y) = (-432.34, -177.186)
459: (x,y) = (-451.25, -170.674)
460: (x,y) = (-456.763, -151.449)
461: (x,y) = (-447.995, -169.425)
462: (x,y) = (-435.959, -185.398)
463: (x,y) = (-416.205, -182.269)
464: (x,y) = (-398.885, -172.269)
465: (x,y) = (-405.065, -153.248)
466: (x,y) = (-419.207, -139.106)
467: (x,y) = (-407.736, -122.723)
468: (x,y) = (-388.417, -127.899)
469: (x,y) = (-370.758, -118.51)
470: (x,y) = (-350.786, -119.556)
471: (x,y) = (-345.273, -100.331)
472: (x,y) = (-339.76, -119.556)
473: (x,y) = (-359.456, -116.083)
474: (x,y) = (-365.637, -97.0622)
475: (x,y) = (-368.765, -77.3084)
476: (x,y) = (-356.452, -61.5482)
477: (x,y) = (-343.331, -46.454)
478: (x,y) = (-330.745, -61.997)
479: (x,y) = (-345.839, -75.1181)
480: (x,y) = (-329.658, -86.8738)
481: (x,y) = (-309.768, -84.7833)
482: (x,y) = (-309.07, -104.771)
483: (x,y) = (-293.31, -117.084)
484: (x,y) = (-273.386, -118.827)
485: (x,y) = (-260.53, -134.148)
486: (x,y) = (-259.832, -114.161)
487: (x,y) = (-250.752, -131.981)
488: (x,y) = (-240.752, -149.301)
489: (x,y) = (-222.626, -140.849)
490: (x,y) = (-203.139, -136.35)
491: (x,y) = (-201.048, -156.24)
492: (x,y) = (-198.611, -136.389)
493: (x,y) = (-215.384, -147.282)
494: (x,y) = (-225.685, -130.139)
495: (x,y) = (-237.721, -146.111)
496: (x,y) = (-253.264, -133.525)
497: (x,y) = (-233.374, -131.434)
498: (x,y) = (-243.972, -148.395)
499: (x,y) = (-245.715, -128.472)
500: (x,y) = (-231.573, -142.614)
501: (x,y) = (-240.653, -124.794)
502: (x,y) = (-247.164, -105.883)
503: (x,y) = (-237.164, -88.5626)
504: (x,y) = (-219.038, -80.1103)
505: (x,y) = (-239.011, -81.157)
506: (x,y) = (-241.448, -61.3061)
507: (x,y) = (-225.268, -73.0618)
508: (x,y) = (-212.412, -57.7409)
509: (x,y) = (-224.999, -73.2838)
510: (x,y) = (-226.394, -53.3325)
511: (x,y) = (-208.901, -43.6363)
512: (x,y) = (-206.118, -63.4417)
513: (x,y) = (-221.878, -51.1285)
514: (x,y) = (-230.645, -69.1043)
515: (x,y) = (-210.892, -65.9757)
516: (x,y) = (-194.118, -76.8684)
517: (x,y) = (-198.276, -96.4314)
518: (x,y) = (-205.444, -115.103)
519: (x,y) = (-225.441, -114.754)
520: (x,y) = (-216.673, -132.73)
521: (x,y) = (-229.795, -147.824)
522: (x,y) = (-248.205, -140.009)
523: (x,y) = (-229.533, -132.842)
524: (x,y) = (-245.506, -120.806)
525: (x,y) = (-226.38, -126.653)
526: (x,y) = (-206.529, -124.216)
527: (x,y) = (-194.773, -140.396)
528: (x,y) = (-211.734, -129.798)
529: (x,y) = (-201.136, -146.759)
530: (x,y) = (-208.303, -165.43)
531: (x,y) = (-188.549, -168.559)
532: (x,y) = (-196.684, -150.288)
533: (x,y) = (-199.467, -170.093)
534: (x,y) = (-196.339, -189.847)
535: (x,y) = (-203.831, -208.391)
536: (x,y) = (-223.318, -203.892)
537: (x,y) = (-203.367, -202.497)
538: (x,y) = (-219.948, -213.681)
539: (x,y) = (-229.948, -196.36)
540: (x,y) = (-241.984, -180.387)
541: (x,y) = (-236.137, -199.513)
542: (x,y) = (-223.55, -183.971)
543: (x,y) = (-214.783, -165.995)
544: (x,y) = (-223.235, -184.121)
545: (x,y) = (-207.692, -196.707)
546: (x,y) = (-203.876, -216.34)
547: (x,y) = (-217.259, -201.477)
548: (x,y) = (-197.307, -200.082)
549: (x,y) = (-196.261, -220.054)
550: (x,y) = (-212.644, -231.526)
551: (x,y) = (-219.155, -250.436)
552: (x,y) = (-227.29, -232.165)
553: (x,y) = (-236.37, -214.345)
554: (x,y) = (-255.857, -218.844)
555: (x,y) = (-239.276, -230.028)
556: (x,y) = (-220.255, -236.208)
557: (x,y) = (-232.291, -220.236)
558: (x,y) = (-241.371, -202.416)
559: (x,y) = (-221.675, -198.943)
560: (x,y) = (-207.288, -212.836)
561: (x,y) = (-226.607, -207.659)
562: (x,y) = (-211.513, -194.538)
563: (x,y) = (-203.06, -176.412)
564: (x,y) = (-223.033, -177.459)
565: (x,y) = (-241.576, -169.967)
566: (x,y) = (-247.757, -188.988)
567: (x,y) = (-242.58, -208.306)
568: (x,y) = (-260.401, -217.386)
569: (x,y) = (-256.584, -237.019)
570: (x,y) = (-275.99, -241.857)
571: (x,y) = (-295.478, -237.358)
572: (x,y) = (-293.735, -257.282)
573: (x,y) = (-287.554, -238.261)
574: (x,y) = (-285.464, -218.37)
575: (x,y) = (-301.436, -206.334)
576: (x,y) = (-281.436, -206.334)
577: (x,y) = (-267.294, -192.192)
578: (x,y) = (-266.945, -212.189)
579: (x,y) = (-282.039, -225.31)
580: (x,y) = (-268.146, -239.697)
581: (x,y) = (-251.966, -251.453)
582: (x,y) = (-231.993, -250.406)
583: (x,y) = (-213.722, -242.271)
584: (x,y) = (-198.859, -228.889)
585: (x,y) = (-217.881, -222.708)
586: (x,y) = (-211.369, -203.798)
587: (x,y) = (-230.495, -209.645)
588: (x,y) = (-223.655, -228.439)
589: (x,y) = (-234.839, -245.02)
590: (x,y) = (-246.023, -228.439)
591: (x,y) = (-247.418, -248.39)
592: (x,y) = (-244.98, -268.241)
593: (x,y) = (-263.524, -275.733)
594: (x,y) = (-276.11, -291.276)
595: (x,y) = (-294.237, -282.824)
596: (x,y) = (-313.933, -279.351)
597: (x,y) = (-301.896, -263.378)
598: (x,y) = (-290.141, -279.559)
599: (x,y) = (-293.614, -299.255)
600: (x,y) = (-311.59, -290.487)
601: (x,y) = (-324.176, -306.03)
602: (x,y) = (-343.495, -300.854)
603: (x,y) = (-325.224, -308.989)
604: (x,y) = (-332.391, -290.317)
605: (x,y) = (-313.37, -284.137)
606: (x,y) = (-296.227, -294.437)
607: (x,y) = (-311.089, -281.055)
608: (x,y) = (-327.27, -269.299)
609: (x,y) = (-319.455, -287.709)
610: (x,y) = (-331.211, -271.529)
611: (x,y) = (-328.773, -251.678)
612: (x,y) = (-309.368, -256.516)
613: (x,y) = (-329.064, -253.043)
614: (x,y) = (-347.04, -261.811)
615: (x,y) = (-367.037, -261.462)
616: (x,y) = (-383.617, -250.278)
617: (x,y) = (-389.465, -231.152)
618: (x,y) = (-397.279, -212.742)
619: (x,y) = (-377.355, -214.485)
620: (x,y) = (-376.657, -234.473)
621: (x,y) = (-375.262, -214.521)
622: (x,y) = (-379.421, -234.084)
623: (x,y) = (-375.262, -253.647)
624: (x,y) = (-395.153, -251.557)
625: (x,y) = (-389.64, -270.782)
626: (x,y) = (-371.514, -262.33)
627: (x,y) = (-351.526, -263.028)
628: (x,y) = (-334.945, -251.844)
629: (x,y) = (-318.765, -263.599)
630: (x,y) = (-327.845, -281.42)
631: (x,y) = (-307.872, -282.466)
632: (x,y) = (-317.568, -264.974)
633: (x,y) = (-329.04, -248.591)
634: (x,y) = (-318.147, -265.364)
635: (x,y) = (-299.476, -258.197)
636: (x,y) = (-310.947, -274.58)
637: (x,y) = (-294.366, -285.764)
638: (x,y) = (-277.786, -274.58)
639: (x,y) = (-258.659, -268.733)
640: (x,y) = (-241, -278.122)
641: (x,y) = (-260.022, -284.302)
642: (x,y) = (-278.565, -276.81)
643: (x,y) = (-290.037, -260.427)
644: (x,y) = (-305.358, -273.283)
645: (x,y) = (-318.479, -258.189)
646: (x,y) = (-338.369, -256.098)
647: (x,y) = (-320.71, -246.709)
648: (x,y) = (-333.297, -262.252)
649: (x,y) = (-317.976, -249.396)
650: (x,y) = (-300.156, -258.476)
651: (x,y) = (-285.062, -271.597)
652: (x,y) = (-304.188, -265.749)
653: (x,y) = (-286.368, -274.829)
654: (x,y) = (-293.86, -293.373)
655: (x,y) = (-285.407, -275.247)
656: (x,y) = (-287.498, -295.137)
657: (x,y) = (-287.149, -315.134)
658: (x,y) = (-301.776, -301.494)
659: (x,y) = (-284.633, -311.795)
660: (x,y) = (-269.09, -299.209)
661: (x,y) = (-277.224, -280.938)
662: (x,y) = (-270.057, -262.266)
663: (x,y) = (-269.359, -242.278)
664: (x,y) = (-250.233, -248.126)
665: (x,y) = (-263.616, -262.989)
666: (x,y) = (-262.918, -243.001)
667: (x,y) = (-245.259, -252.39)
668: (x,y) = (-261.019, -240.077)
669: (x,y) = (-251.323, -257.569)
670: (x,y) = (-265.709, -243.676)
671: (x,y) = (-285.56, -246.114)
672: (x,y) = (-266.65, -252.625)
673: (x,y) = (-248.106, -260.117)
674: (x,y) = (-228.109, -260.466)
675: (x,y) = (-220.617, -279.01)
676: (x,y) = (-202.491, -287.462)
677: (x,y) = (-189.108, -302.325)
678: (x,y) = (-207.235, -310.777)
